itemId,name,marketValue,historical,avgSalePrice,saleRate,soldPerDay,updatedAt
1810,Tough Leather Armor,3500,0,0,0,0,2026-09-09T02:48:27Z
1812,Short-handled Battle Axe,1129,0,0,0,0,2026-09-09T02:48:27Z
7477,Ranger Tunic,29438,0,26809,0.235,0,2026-09-09T02:48:27Z
7479,Ranger Helm,25000,0,18799,0.333,0,2026-09-09T02:48:27Z
10144,High Councillor's Sash,60000,0,38000,0.038,0,2026-09-09T02:48:27Z
10145,Mighty Girdle,40000,0,21200,0,0,2026-09-09T02:48:27Z
10149,Mighty Gauntlets,89784,0,0,0,0,2026-09-09T02:48:27Z
10159,Mercurial Cloak,100143,0,38000,0.023,0.023,2026-09-09T02:48:27Z
10160,Mercurial Circlet,103529,0,0,0,0,2026-09-09T02:48:27Z
11226,Formula: Enchant Gloves - Riding Skill,9750000,0,147699,0.093,0.14,2026-09-09T02:48:27Z
12053,Volcanic Rock Ring,31667,0,23218,0.344,0,2026-09-09T02:48:27Z
12054,Demon Band,29591,0,19999,0.326,0.326,2026-09-09T02:48:27Z
12984,Skycaller,318480,0,94901,0.266,0.133,2026-09-09T02:48:27Z
14192,Raincaller Robes,16324,0,5000,0,0,2026-09-09T02:48:27Z
14193,Raincaller Pants,43637,0,6400,0.13,0,2026-09-09T02:48:27Z
14194,Raincaller Cord,11050,0,2374,0.032,0.016,2026-09-09T02:48:27Z
14405,Resilient Robe,26833,0,0,0,0,2026-09-09T02:48:27Z
14406,Resilient Cord,9587,0,1497,0.2,0,2026-09-09T02:48:27Z
14407,Stonecloth Vest,26671,0,0,0,0,2026-09-09T02:48:27Z
14408,Stonecloth Boots,6871,0,0,0,0,2026-09-09T02:48:27Z
19164,Dark Iron Gauntlets,14620469,0,0,0,0,2026-09-09T02:48:27Z
3827,Mana Potion,919,0,428,0.431,0,2026-09-09T02:48:27Z
14943,Warbringer's Belt,30000,0,0,0,0,2026-09-09T02:48:27Z
14944,Warbringer's Crown,31232,0,33998,0.193,0,2026-09-09T02:48:27Z
14973,Glorious Shield,73754,0,85500,1,0,2026-09-09T02:48:27Z
